,TIME OCC,Vict Age,Crm Cd Desc,AREA NAME,Vict Sex,Premis Desc,Weapon Desc,LOCATION
879279,1850,49,22,2,0,189,24,1112
879281,1253,53,13,16,0,189,68,5858
879290,1645,46,23,0,0,60,70,6478
879302,700,32,52,7,0,90,58,8462
879321,1100,33,37,7,0,199,58,9424
879331,2355,99,56,20,1,199,28,10037
879335,1530,12,56,8,1,158,58,1447
879340,2215,32,56,19,1,60,68,3097
879341,1555,19,7,7,0,79,58,1966
879347,1935,22,56,20,1,199,58,7890
879354,255,34,4,12,0,199,58,6938
879356,1845,21,4,1,1,138,58,5
879360,800,31,4,3,1,189,58,8530
879371,1210,34,86,14,0,189,38,2415
879375,1950,39,75,12,1,218,68,7396
879379,2330,24,14,18,0,199,68,8445
879381,330,71,4,1,1,131,58,6720
879384,2250,47,23,18,1,217,70,4166
879391,1355,39,4,9,0,149,58,9652
879397,1220,14,42,2,1,73,58,2635
879403,245,34,37,15,0,151,58,3409
879405,1300,42,2,9,1,165,32,5940
879416,1720,45,4,8,0,151,58,1061
879432,1553,18,10,16,0,149,37,6306
879446,1930,32,4,7,1,28,58,9011
879455,1656,54,4,0,0,189,58,3940
879468,800,31,56,6,1,199,24,6962
879471,100,41,2,9,0,13,56,9168
879473,900,30,56,0,1,189,70,8757
879476,1000,18,36,19,0,151,58,6291
879485,1310,18,4,0,0,67,58,8406
879491,1520,65,2,19,0,199,32,9940
879493,1430,16,56,0,0,188,58,8309
879494,1000,38,7,7,0,213,58,9517
879497,1245,27,4,14,1,199,58,690
879503,1530,35,2,7,1,199,24,9517
879509,717,49,4,0,0,189,58,8760
879511,755,58,72,12,0,188,68,7396
879517,1530,13,4,20,0,73,58,5460
879522,200,68,80,12,1,188,68,6464
879527,215,60,2,3,1,199,39,9164
879531,855,21,37,12,0,165,58,1635
879533,1105,60,13,18,1,189,68,4456
879537,1330,29,56,14,0,118,58,1097
879542,2100,24,2,16,1,79,50,3977
879553,2000,21,2,15,1,199,24,8739
879555,2020,29,4,11,0,188,68,10041
879557,1919,29,80,15,0,189,15,1747
879565,2120,29,75,12,1,218,68,5926
879568,2300,31,2,13,1,199,24,10036
879570,1100,28,37,14,0,189,58,2693
879576,2010,34,4,7,1,189,58,8494
879582,2100,24,36,2,0,151,58,3102
879587,1140,50,10,8,1,149,37,10027
879599,1825,44,10,3,1,189,21,5479
879606,910,50,10,0,0,199,56,275
879619,1610,16,18,2,1,66,58,8899
879626,955,32,4,6,1,199,58,10058
879628,2000,32,10,15,1,151,0,5775
879635,1230,35,37,20,0,151,58,6741
879650,120,32,37,19,0,199,58,10151
879651,1200,73,22,3,1,199,37,473
879656,1600,20,4,6,0,158,58,6553
879659,500,33,37,4,0,199,58,381
879660,1800,40,4,12,0,151,58,6982
879668,730,51,40,17,1,158,70,2346
879673,1942,17,10,12,1,182,24,5849
879675,730,49,4,17,1,151,58,2589
879676,445,23,2,14,1,199,66,1426
879677,1840,35,4,13,1,151,58,2746
879687,1950,24,23,3,1,189,70,1488
879689,2315,43,2,6,1,165,24,2950
879693,1200,62,2,7,0,188,58,8839
879697,755,35,23,16,0,151,70,4151
